"Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Exito %","Tiempo Promedio Paso (min)","Maquinas Usadas","Pasos Lentos"
"drwil","128","22","106","17,19","0,165","1","2324"
"braya","50","0","50","0","0,213","1","540"
"mauro","50","0","50","0","0,213","1","552"
"david.vasquez","50","0","50","0","0,282","1","891"
"angela.perez.z","77","30","47","38,96","0,577","1","1727"
"melanie.agualimpia","78","38","40","48,72","0,468","1","2107"
"User","50","12","38","24","0,222","1","380"
"juan.vargas","77","43","34","55,84","0,316","1","1377"
"emmanuel.tabares","50","17","33","34","0,225","1","1052"
"esneider.hernandez","50","20","30","40","0,245","1","458"
"jair.bovea","50","23","27","46","0,237","1","466"
"arnulfo.gomez","50","25","25","50","0,234","1","475"
"sanch","52","27","25","51,92","0,256","1","636"
"yoarlys.carillo","50","25","25","50","0,393","1","1395"
"Sergio","50","26","24","52","0,27","1","519"
"giraldo.cuastumal","50","30","20","60","0,312","1","732"
"katian.vallejo","50","30","20","60","0,275","1","653"
"jose.perez.fl","50","31","19","62","0,298","1","779"
"sergio.anaya","50","31","19","62","0,249","1","557"
"jessica.diaz","50","32","18","64","0,334","1","751"
"fabian.silva","50","32","18","64","0,271","1","586"
"jorge.caicedo","50","34","16","68","0,288","1","651"
"santiago.hernandez.c","50","34","16","68","0,237","1","538"
"milena.sandoval","50","36","14","72","0,33","1","718"
"jaime.urrego","50","40","10","80","0,507","1","925"
"yessica.pabon","50","41","9","82","0,24","1","496"
"sergio.cabrera","50","43","7","86","0,282","1","519"
"ana.suesca","50","45","5","90","0,304","1","741"
"mauricio.castano","50","47","3","94","0,269","1","539"
"johan.lopez.q","50","48","2","96","0","1","0"
"joel.rodriguez","50","49","1","98","0,3","1","597"
"maycol.sanchez","50","50","0","100","0","1","0"
"jonathan.valencia.f","50","50","0","100","0","1","0"
